No.,Familia,Especie,No_individuos,Longitud_media_cm,Peso_promedio_gr,Color_dominante
1,Hylidae,C. taeniopus,8,9.494,48.94,Verde oscuro
2,Craugastoridae,C. decoratus,1,2.5,30,Café 
3,Craugastoridae,C. rhodopis,97,1.836,23.84,Café oscuro
4,Craugastoridae,C. pygmaeus,3,0.3,13.88,Café medio
5,Hylidae,E. miotympanum,104,1.33,26.68,Verde claro
6,Eleutherodactylidae,E. cystignathoides,10,0.66,19.25,Gris
7,Centrolenidae,H. fleischmanni,8,0.731,23.83,Verde limón
8,Bufonidae,I. valliceps,1,13.5,50.2,Café claro
9,Ranidae,L. berlandieri,1,3.5,32,Verde
10,Hylidae,P. arborescandens,27,2.767,32.44,Dorado
