No.,Family,Scientific name,Lenght_mean,Weigh_mean,Sample,Main_SkinColour
1,Bufonidae,Inciliius cavifrons,41.50,6.80,1,gray44
2,Bufonidae,Incilius occidentalis?,13.00,48.00,1,rosybrown
3,Bufonidae,Rhinella marina,168.00,500.00,1,peru
4,Craugastoridae,Craugastor alfredi,35.03,2.65,8,goldenrod4
5,Craugastoridae,Craugastor loki,23.36,1.13,38,orange4
6,Craugastoridae,Craugastor pygmaeus,16.40,0.48,4,rosybrown3
8,Eleutherodactylidae,Eleutherodactylus leprus,23.35,0.85,2,darkgray
7,Hylidae,Dendropsophus microcephalus,23.06,0.76,9,orange1
9,Hylidae,Smilisca baudinii,55.80,13.50,1,navajowhite3
10,Hylidae,Smilisca cyanosticta,53.30,9.90,1,olivedrab2
11,Ranidae,Lithobates berlandieri,70.70,24.15,3,darkolivegreen
12,Ranidae,Lithobates vaillanti,73.23,43.65,4,olivedrab3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
